CVEGEO,ECO1_R,ECO4_R,ECO7_R,ECO10_R,ECO13_R,ECO16_R,ECO19_R,ECO22_R
1900100010021001,55.3,92.3,0.0,20.8,-6.0,37.5,29.2,-6.0
1900100010021002,40.0,100.0,-6.0,-6.0,0.0,-6.0,-6.0,-6.0
1900100010021003,60.9,92.9,0.0,23.1,-6.0,38.5,23.1,-6.0
1900100010021004,36.4,87.5,0.0,57.1,0.0,-6.0,-6.0,-6.0
1900100010021005,56.0,100.0,0.0,21.4,-6.0,64.3,-6.0,0.0
1900100010021006,54.3,100.0,0.0,32.0,-6.0,32.0,20.0,12.0
1900100010021007,56.5,96.2,0.0,28.0,0.0,32.0,20.0,20.0
1900100010021008,38.3,94.4,0.0,-6.0,0.0,70.6,23.5,0.0
1900100010021009,44.4,93.8,-6.0,20.0,10.0,36.7,13.3,16.7
1900100010021010,40.0,83.3,0.0,-6.0,0.0,-6.0,-6.0,-6.0
1900100010021011,44.0,100.0,0.0,-6.0,-6.0,54.5,0.0,-6.0
1900100010021012,83.3,90.0,0.0,0.0,-6.0,0.0,33.3,55.6
1900100010021013,61.5,93.8,0.0,-6.0,0.0,40.0,-6.0,40.0
1900100010021014,50.0,100.0,0.0,33.3,0.0,41.7,25.0,0.0
1900100010021015,80.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
1900100010021016,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010021017,36.4,100.0,0.0,0.0,0.0,-6.0,-6.0,0.0
1900100010021018,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010021019,54.5,94.4,0.0,17.6,17.6,-6.0,41.2,17.6
1900100010021020,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010021021,50.0,100.0,0.0,-6.0,0.0,41.7,25.0,-6.0
1900100010021022,44.4,100.0,0.0,-6.0,37.5,-6.0,-6.0,0.0
1900100010021023,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010021024,50.0,100.0,0.0,-6.0,0.0,0.0,-6.0,0.0
1900100010021025,68.2,93.3,0.0,0.0,0.0,-6.0,42.9,50.0
1900100010021026,50.0,90.0,0.0,33.3,55.6,0.0,-6.0,0.0
1900100010021027,68.2,100.0,-6.0,33.3,0.0,0.0,-6.0,53.3
1900100010021028,54.5,100.0,0.0,50.0,-6.0,0.0,0.0,-6.0
1900100010021029,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010021030,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010021031,28.6,100.0,0.0,-6.0,0.0,0.0,-6.0,-6.0
1900100010021032,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010021033,50.0,100.0,0.0,-6.0,0.0,-6.0,0.0,0.0
1900100010021034,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010021035,33.3,100.0,0.0,-6.0,-6.0,0.0,0.0,-6.0
1900100010021036,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010021037,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010021038,55.6,100.0,0.0,-6.0,0.0,60.0,-6.0,0.0
1900100010021040,60.0,94.4,0.0,17.6,-6.0,52.9,-6.0,0.0
1900100010021042,66.7,100.0,0.0,40.0,30.0,-6.0,-6.0,0.0
1900100010021047,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010021048,68.8,90.9,0.0,30.0,0.0,30.0,30.0,-6.0
1900100010021049,63.0,100.0,0.0,17.6,0.0,52.9,17.6,-6.0
1900100010021050,46.9,91.3,-6.0,23.8,0.0,47.6,19.0,-6.0
1900100010021051,66.7,100.0,0.0,37.5,-6.0,0.0,-6.0,-6.0
1900100010021052,57.1,100.0,0.0,-6.0,0.0,0.0,-6.0,0.0
1900100010021054,55.2,100.0,0.0,18.8,43.8,0.0,18.8,-6.0
1900100010036001,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010036002,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010036004,38.1,93.8,0.0,-6.0,0.0,40.0,46.7,0.0
1900100010036005,36.2,95.2,0.0,30.0,-6.0,60.0,-6.0,0.0
1900100010036006,46.7,100.0,0.0,-6.0,0.0,57.1,-6.0,-6.0
1900100010036007,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010036008,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010036009,46.3,100.0,0.0,-6.0,-6.0,42.1,21.1,21.1
1900100010036010,35.0,100.0,-6.0,42.9,0.0,-6.0,-6.0,0.0
1900100010036011,66.7,90.0,-6.0,-6.0,0.0,55.6,0.0,0.0
1900100010036012,62.5,86.7,0.0,-6.0,0.0,53.8,23.1,-6.0
1900100010036013,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010036014,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010036015,63.6,100.0,0.0,-6.0,0.0,-6.0,42.9,-6.0
1900100010036016,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010036017,47.8,90.9,-6.0,60.0,0.0,-6.0,-6.0,0.0
1900100010036018,52.9,88.9,0.0,-6.0,0.0,75.0,0.0,-6.0
1900100010036019,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010036021,43.5,70.0,0.0,42.9,0.0,42.9,0.0,-6.0
1900100010036022,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010036023,55.6,100.0,0.0,-6.0,0.0,30.0,30.0,-6.0
